I, [2020-04-13T16:40:06.440667 #6377]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2020-04-13T16:40:06.441135 #6377] ERROR -- Kitchen: ------Exception-------
E, [2020-04-13T16:40:06.441196 #6377] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-04-13T16:40:06.441234 #6377] ERROR -- Kitchen: Message: Kitchen YAML file /Users/mahanjahromi/code/Projects/it_job_watch_mahan/cookbook/kitchen.yml does not exist.
E, [2020-04-13T16:40:06.441257 #6377] ERROR -- Kitchen: ----------------------
E, [2020-04-13T16:40:06.441277 #6377] ERROR -- Kitchen: ------Backtrace-------
E, [2020-04-13T16:40:06.441304 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-04-13T16:40:06.441361 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2020-04-13T16:40:06.441400 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2020-04-13T16:40:06.441426 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-04-13T16:40:06.441449 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-04-13T16:40:06.441470 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2020-04-13T16:40:06.441490 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-04-13T16:40:06.441511 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-04-13T16:40:06.441531 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/test.rb:40:in `block in call'
E, [2020-04-13T16:40:06.441551 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-04-13T16:40:06.441571 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/test.rb:38:in `call'
E, [2020-04-13T16:40:06.441591 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2020-04-13T16:40:06.441612 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:250:in `test'
E, [2020-04-13T16:40:06.441633 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-04-13T16:40:06.441683 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-04-13T16:40:06.441715 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-04-13T16:40:06.441734 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-04-13T16:40:06.441752 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2020-04-13T16:40:06.441770 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-04-13T16:40:06.441788 #6377] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2020-04-13T16:40:06.441806 #6377] ERROR -- Kitchen: /usr/local/bin/kitchen:349:in `load'
E, [2020-04-13T16:40:06.441823 #6377] ERROR -- Kitchen: /usr/local/bin/kitchen:349:in `<main>'
E, [2020-04-13T16:40:06.441841 #6377] ERROR -- Kitchen: ----End Backtrace-----
